Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2u","C_0603_1608Metric",22.860000,-4.445000,90.000000,top
"C2","2.2u","C_0603_1608Metric",20.320000,-12.065000,90.000000,top
"C3","10n","C_0603_1608Metric",6.223000,-43.815000,270.000000,top
"C4","4.7u","C_0603_1608Metric",20.320000,-4.445000,90.000000,top
"C5","2.2u","C_0603_1608Metric",26.670000,-8.255000,90.000000,top
"C6","2.2u","C_0603_1608Metric",16.510000,-8.255000,270.000000,top
"C7","1p","C_0603_1608Metric",8.128000,-43.815000,270.000000,top
"C8","1u","C_0603_1608Metric",41.656000,-14.732000,90.000000,top
"C9","6.8p","C_0603_1608Metric",8.128000,-47.625000,270.000000,top
"C10","100n","C_0603_1608Metric",15.240000,-48.895000,180.000000,top
"C11","100n","C_0603_1608Metric",34.290000,-11.557000,180.000000,top
"C12","100n","C_0603_1608Metric",40.005000,-33.655000,270.000000,top
"C13","100n","C_0603_1608Metric",27.940000,-48.895000,0.000000,top
"C14","100n","C_0603_1608Metric",55.118000,-27.305000,90.000000,top
"C15","1u","C_0603_1608Metric",49.530000,-11.430000,0.000000,top
"C16","100n","C_0603_1608Metric",43.180000,-29.210000,90.000000,top
"C17","22u","C_0603_1608Metric",39.370000,-22.860000,90.000000,top
"C18","10n","C_0603_1608Metric",46.355000,-14.605000,270.000000,top
"C19","2.2u","C_0603_1608Metric",49.530000,-17.780000,0.000000,top
"C20","22u","C_0603_1608Metric",56.896000,-27.305000,90.000000,top
"C21","22u","C_0603_1608Metric",41.275000,-22.860000,90.000000,top
"C22","1u","C_0603_1608Metric",45.466000,-36.322000,270.000000,top
"C23","100n","C_0603_1608Metric",31.115000,-14.732000,90.000000,top
"C24","100n","C_0603_1608Metric",43.180000,-22.860000,90.000000,top
"C25","100n","C_0603_1608Metric",43.180000,-26.035000,90.000000,top
"C26","100n","C_0603_1608Metric",40.640000,-29.210000,270.000000,top
"C27","10n","C_0603_1608Metric",6.350000,-25.400000,270.000000,top
"C28","1p","C_0603_1608Metric",8.255000,-25.400000,270.000000,top
"C29","6.8p","C_0603_1608Metric",8.255000,-29.210000,270.000000,top
"C30","100n","C_0603_1608Metric",15.240000,-30.480000,180.000000,top
"C31","100n","C_0603_1608Metric",19.685000,-17.780000,0.000000,top
"C32","100n","C_0603_1608Metric",21.590000,-30.480000,180.000000,top
"C33","100n","C_0603_1608Metric",27.940000,-30.480000,180.000000,top
"C34","100n","C_0603_1608Metric",31.115000,-20.955000,270.000000,top
"C35","100n","C_0603_1608Metric",41.275000,-38.735000,0.000000,top
"C36","100n","C_0603_1608Metric",36.830000,-38.735000,0.000000,top
"C37","100n","C_0603_1608Metric",21.590000,-48.895000,180.000000,top
"C38","100n","C_0603_1608Metric",19.685000,-36.195000,180.000000,top
"C39","100n","C_0603_1608Metric",31.115000,-39.370000,270.000000,top
"C40","160p","C_0603_1608Metric",31.115000,-29.210000,270.000000,top
"C41","160p","C_0603_1608Metric",31.115000,-47.625000,270.000000,top
"C42","100n","C_0603_1608Metric",49.784000,-53.086000,0.000000,top
"C43","100n","C_0603_1608Metric",52.578000,-14.745000,270.000000,top
"C44","100n","C_0603_1608Metric",49.784000,-41.656000,180.000000,top
"C45","100n","C_0603_1608Metric",49.784000,-43.434000,180.000000,top
"D1","D","D_0603_1608Metric",11.938000,-43.815000,270.000000,top
"D2","D","D_0603_1608Metric",11.938000,-47.625000,270.000000,top
"D3","D","D_0603_1608Metric",12.065000,-25.400000,270.000000,top
"D4","D","D_0603_1608Metric",12.065000,-29.210000,270.000000,top
"D5","D","D_0603_1608Metric",33.020000,-29.210000,90.000000,top
"D6","D","D_0603_1608Metric",33.020000,-47.625000,90.000000,top
"J1","Conn_01x02","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",2.105000,-27.305000,270.000000,top
"J4","Conn_01x02_Male","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left",9.144000,-40.386000,180.000000,top
"J6","Conn_01x02","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",2.105000,-45.720000,270.000000,top
"J7","Conn_01x02_Male","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left",9.144000,-22.098000,180.000000,top
"R1","680k","R_0603_1608Metric",10.033000,-43.815000,270.000000,top
"R2","87k","R_0603_1608Metric",24.765000,-8.255000,90.000000,top
"R3","87k","R_0603_1608Metric",18.415000,-8.255000,270.000000,top
"R4","100k","R_0603_1608Metric",10.033000,-47.625000,90.000000,top
"R5","50k","R_0603_1608Metric",24.765000,-4.445000,270.000000,top
"R6","50k","R_0603_1608Metric",18.415000,-12.065000,90.000000,top
"R7","1k","R_0603_1608Metric",38.608000,-17.780000,0.000000,top
"R8","1k","R_0603_1608Metric",15.240000,-42.545000,0.000000,top
"R9","47","R_0603_1608Metric",17.145000,-20.955000,270.000000,top
"R10","100","R_0603_1608Metric",18.415000,-45.720000,270.000000,top
"R11","680","R_0603_1608Metric",21.590000,-42.545000,0.000000,top
"R12","1k","R_0603_1608Metric",24.765000,-43.815000,270.000000,top
"R13","100","R_0603_1608Metric",24.765000,-47.625000,270.000000,top
"R14","0","R_0603_1608Metric",44.958000,-5.588000,180.000000,top
"R15","0","R_0603_1608Metric",44.958000,-3.683000,180.000000,top
"R16","100","R_0603_1608Metric",27.940000,-42.545000,180.000000,top
"R17","1k","R_0603_1608Metric",33.020000,-43.815000,90.000000,top
"R18","22","R_0603_1608Metric",36.830000,-36.830000,180.000000,top
"R19","22","R_0603_1608Metric",53.340000,-20.955000,180.000000,top
"R20","100","R_0603_1608Metric",31.115000,-25.400000,270.000000,top
"R21","100","R_0603_1608Metric",31.115000,-43.815000,270.000000,top
"R22","22","R_0603_1608Metric",54.610000,-43.434000,0.000000,top
"R23","0","R_0603_1608Metric",41.275000,-46.990000,180.000000,top
"R24","680k","R_0603_1608Metric",10.160000,-25.400000,270.000000,top
"R25","1MEG","R_0603_1608Metric",41.275000,-45.085000,180.000000,top
"R26","100k","R_0603_1608Metric",10.160000,-29.210000,90.000000,top
"R27","1k","R_0603_1608Metric",15.240000,-24.130000,0.000000,top
"R28","680","R_0603_1608Metric",21.590000,-24.130000,0.000000,top
"R29","100","R_0603_1608Metric",18.415000,-27.305000,270.000000,top
"R30","47","R_0603_1608Metric",17.145000,-39.370000,270.000000,top
"R31","1k","R_0603_1608Metric",24.765000,-25.400000,270.000000,top
"R32","100","R_0603_1608Metric",24.765000,-29.210000,270.000000,top
"R33","100","R_0603_1608Metric",27.940000,-24.130000,180.000000,top
"R34","1k","R_0603_1608Metric",33.020000,-25.400000,90.000000,top
"R35","22","R_0603_1608Metric",41.275000,-36.830000,0.000000,top
"R36","100","R_0603_1608Metric",23.495000,-17.780000,180.000000,top
"R37","100","R_0603_1608Metric",23.495000,-36.195000,180.000000,top
"R38","4.7k","R_0603_1608Metric",56.896000,-50.292000,90.000000,top
"R39","4.7k","R_0603_1608Metric",58.674000,-50.292000,90.000000,top
"U1","TPH2501","SOT-23-5",15.240000,-27.305000,270.000000,top
"U2","TMUX1119","SOT-23-6",36.830000,-33.655000,180.000000,top
"U3","LP2985-3.3","SOT-23-5",49.530000,-14.605000,270.000000,top
"U4","LM27762","WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias",21.590000,-8.255000,270.000000,top
"U5","LM4040DBZ-2.0","SOT-23",38.608000,-14.732000,180.000000,top
"U6","TLV271","SOT-23-5",34.290000,-14.732000,180.000000,top
"U7","TPH2501","SOT-23-5",15.240000,-45.720000,270.000000,top
"U8","LMH6629","SOT-23-5",21.590000,-27.305000,270.000000,top
"U9","ADG621","MSOP-10_3x3mm_P0.5mm",21.590000,-20.955000,0.000000,top
"U10","OPA830","SOT-23-5",27.940000,-27.305000,270.000000,top
"U11","DAC5571","SOT-23-6",27.940000,-20.955000,180.000000,top
"U12","LMH6629","SOT-23-5",21.590000,-45.720000,270.000000,top
"U13","TLV3501","SOT-23-6",41.275000,-41.910000,90.000000,top
"U14","ADC08100","TSSOP-24_4.4x7.8mm_P0.65mm",49.530000,-26.670000,0.000000,top
"U15","DAC5571","SOT-23-6",36.830000,-41.910000,270.000000,top
"U16","ADG621","MSOP-10_3x3mm_P0.5mm",21.590000,-39.370000,0.000000,top
"U17","OPA830","SOT-23-5",27.940000,-45.720000,270.000000,top
"U18","DAC5571","SOT-23-6",27.940000,-39.370000,180.000000,top
"U19","TSC2004","QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",49.784000,-36.322000,270.000000,top
"U20","TCA9554DB","SSOP-16_5.3x6.2mm_P0.65mm",49.784000,-48.514000,0.000000,top
